id:ID,label,:LABEL,properties.category,properties.chapters,properties.description,properties.mention_count,properties.name_normalized,properties.red_flag,properties.sections,properties.severity,properties.synonyms,properties.treatment_type,properties.urgency_level,properties.urgency_source
disease_357,Pfv,Entity,,[8],Disease entity extracted from differential diagnosis lists,2,pfv,False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_358,Rubella,Entity,,[8],Disease entity extracted from differential diagnosis lists,2,rubella,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_359,Renal Syndromes,Entity,,[8],Disease entity extracted from differential diagnosis lists,2,renal syndromes,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_360,Lowe Syndrome (Oculocerebrorenal Syndrome),Entity,,[8],Disease entity extracted from differential diagnosis lists,2,lowe syndrome (oculocerebrorenal syndrome),False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_361,Alport Syndrome,Entity,,[8],Disease entity extracted from differential diagnosis lists,2,alport syndrome,False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_362,Acquired,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,acquired,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_363,Congenital Glaucoma,Entity,,[8],Disease entity extracted from differential diagnosis lists,2,congenital glaucoma,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_364,Chemical,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,chemical,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_365,Neisseria Gonorrhoeae,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,neisseria gonorrhoeae,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_366,Chlamydia Trachomatis,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,chlamydia trachomatis,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_367,Bacteria,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,bacteria,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_368,Congenital Anomalies Of The Upper Lacrimal Drainage System,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,congenital anomalies of the upper lacrimal drainage system,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_369,Dacryocele,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,dacryocele,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_370,Megalocornea,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,megalocornea,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_371,Trauma From Forceps During Delivery,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,trauma from forceps during delivery,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_372,Posterior Polymorphous Dystrophy,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,posterior polymorphous dystrophy,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_373,Mucopolysaccharidoses And Cystinosis,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,mucopolysaccharidoses and cystinosis,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_374,Simple Congenital Ptosis,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,simple congenital ptosis,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_375,Blepharophimosis Syndrome,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,blepharophimosis syndrome,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_376,Marcus Gunn Jaw Winking,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,marcus gunn jaw winking,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_377,Acquired Ptosis,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,acquired ptosis,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_378,Pseudoptosis,Entity,,"[6, 8]",Disease entity extracted from differential diagnosis lists,4,pseudoptosis,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_379,Severe Ocular Disease Or Malformation,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,severe ocular disease or malformation,False,"[""Etiology With an Abnormal Ocular Examination""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_380,Dense Bilateral Cataracts In Children >8 Weeks Of Age,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,dense bilateral cataracts in children >8 weeks of age,False,"[""Etiology With an Abnormal Ocular Examination""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_381,Albinism,Entity,,"[8, 10]",Disease entity extracted from differential diagnosis lists,2,albinism,False,"[""Etiology"", ""Etiology With an Abnormal Ocular Examination""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_382,Optic Nerve Hypoplasia,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,optic nerve hypoplasia,False,"[""Etiology With an Abnormal Ocular Examination""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_383,Congenital Optic Atrophy,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,congenital optic atrophy,False,"[""Etiology With an Abnormal Ocular Examination""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_384,Shaken Baby Syndrome,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,shaken baby syndrome,False,"[""Etiology With an Abnormal Ocular Examination""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_385,Extreme Refractive Error,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,extreme refractive error,False,"[""Etiology With an Abnormal Ocular Examination""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_386,Congenital Motor Nystagmus,Entity,,[8],Disease entity extracted from differential diagnosis lists,1,congenital motor nystagmus,False,"[""Etiology With an Abnormal Ocular Examination""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_387,Ocular Hypertension,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,ocular hypertension,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_388,Physiologic Optic Nerve Cupping,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,physiologic optic nerve cupping,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_389,Open-Angle Glaucoma,Entity,,"[3, 8, 9, 11]",Disease entity extracted from differential diagnosis lists,36,open-angle glaucoma,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_390,Low-Tension Glaucoma,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,low-tension glaucoma,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_391,Previous Glaucomatous Damage (E,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,previous glaucomatous damage (e,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_392,Optic Atrophy,Entity,,"[2, 3, 4, 7, 8, 9, 10, 12]",Disease entity extracted from differential diagnosis lists,16,optic atrophy,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_393,"Congenital Optic Nerve Defects (E.G., Tilted Discs, Colobomas, Optic Nerve Pits)",Entity,,[9],Disease entity extracted from differential diagnosis lists,1,"congenital optic nerve defects (e.g., tilted discs, colobomas, optic nerve pits)",False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_394,Optic Nerve Drusen,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,optic nerve drusen,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_395,Poag,Entity,,[9],Disease entity extracted from differential diagnosis lists,3,poag,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_396,Shock-Related Optic Neuropathy From Previous Episode Of Systemic Hypotension (E,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,shock-related optic neuropathy from previous episode of systemic hypotension (e,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_397,Intermittent Iop Elevation (E,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,intermittent iop elevation (e,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_398,Previous Glaucomatous Insult With Severe Iop Elevation That Has Subsequently Resolved,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,previous glaucomatous insult with severe iop elevation that has subsequently resolved,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_399,Cacg,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,cacg,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_400,Pupillary Block,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,pupillary block,False,"[""Etiology of Primary Angle Closure""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_401,Angle Crowding As A Result Of An Abnormal Iris Configuration Including High Peripheral Iris Roll Or Plateau Iris Syndrome Angle Closure,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,angle crowding as a result of an abnormal iris configuration including high peripheral iris roll or plateau iris syndrome angle closure,False,"[""Etiology of Primary Angle Closure""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_402,Pas Pulling The Angle Closed,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,pas pulling the angle closed,False,"[""Etiology of Secondary Angle Closure""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_403,Neovascular Or Fibrovascular Membrane Pulling The Angle Closed,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,neovascular or fibrovascular membrane pulling the angle closed,False,"[""Etiology of Secondary Angle Closure""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_404,Membrane Obstructing The Angle,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,membrane obstructing the angle,False,"[""Etiology of Secondary Angle Closure""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_405,Lens-Induced Narrow Angles,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,lens-induced narrow angles,False,"[""Etiology of Secondary Angle Closure""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_406,Aphakic Or Pseudophakic Pupillary Block,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,aphakic or pseudophakic pupillary block,False,"[""Etiology of Secondary Angle Closure""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_407,Topiramate And Sulfonamide-Induced Angle Closure,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,topiramate and sulfonamide-induced angle closure,False,"[""Etiology of Secondary Angle Closure""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_408,Choroidal Swelling,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,choroidal swelling,False,"[""Etiology of Secondary Angle Closure""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_409,Posterior Segment Tumor,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,posterior segment tumor,False,"[""Etiology of Secondary Angle Closure""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_410,Hemorrhagic Choroidal Detachment,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,hemorrhagic choroidal detachment,False,"[""Etiology of Secondary Angle Closure""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_411,Aqueous Misdirection Syndrome,Entity,,[9],Disease entity extracted from differential diagnosis lists,2,aqueous misdirection syndrome,False,"[""Differential Diagnosis"", ""Etiology of Secondary Angle Closure""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_412,Developmental Abnormalities,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,developmental abnormalities,False,"[""Etiology of Secondary Angle Closure""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_413,Inflammatory Open-Angle Glaucoma,Entity,,[9],Disease entity extracted from differential diagnosis lists,4,inflammatory open-angle glaucoma,False,"[""Differential Diagnosis"", ""Differential Diagnosis of Acute IOP Increase With an Open Angle""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_414,Traumatic (Hemolytic) Glaucoma,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,traumatic (hemolytic) glaucoma,False,"[""Differential Diagnosis of Acute IOP Increase With an Open Angle""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_415,Pigmentary Glaucoma,Entity,,[9],Disease entity extracted from differential diagnosis lists,4,pigmentary glaucoma,False,"[""Differential Diagnosis"", ""Differential Diagnosis of Acute IOP Increase With an Open Angle""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_416,Pseudoexfoliation Glaucoma,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,pseudoexfoliation glaucoma,False,"[""Differential Diagnosis of Acute IOP Increase With an Open Angle""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_417,Lens-Related Glaucoma,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,lens-related glaucoma,False,"[""Differential Diagnosis of Acute IOP Increase With an Open Angle""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_418,Glaucomatocyclitic Crisis (Posner–Schlossman Syndrome),Entity,,[9],Disease entity extracted from differential diagnosis lists,2,glaucomatocyclitic crisis (posner–schlossman syndrome),False,"[""Differential Diagnosis"", ""Differential Diagnosis of Acute IOP Increase With an Open Angle""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_419,Retrobulbar Hemorrhage Or Inflammation,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,retrobulbar hemorrhage or inflammation,False,"[""Differential Diagnosis of Acute IOP Increase With an Open Angle""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_420,Carotid–Cavernous Fistula,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,carotid–cavernous fistula,False,"[""Differential Diagnosis of Acute IOP Increase With an Open Angle""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_421,Steroid-Response Glaucoma,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,steroid-response glaucoma,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_422,Neovascular Glaucoma,Entity,,"[9, 11, 12, 13]",Disease entity extracted from differential diagnosis lists,12,neovascular glaucoma,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_423,Pseudoexfoliation Syndrome,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,pseudoexfoliation syndrome,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_424,Fuchs Heterochromic Iridocyclitis,Entity,,[9],Disease entity extracted from differential diagnosis lists,2,fuchs heterochromic iridocyclitis,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_425,Keratouveitis,Entity,,"[3, 9, 12]",Disease entity extracted from differential diagnosis lists,8,keratouveitis,False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_426,After Trauma Or Intraocular Surgery,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,after trauma or intraocular surgery,False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_427,Exfoliative Glaucoma,Entity,,[9],Disease entity extracted from differential diagnosis lists,2,exfoliative glaucoma,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_428,Iris Melanoma,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,iris melanoma,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_429,Irradiation,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,irradiation,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_430,Postoperative Pigment Liberation After Posterior Chamber Intraocular Lens Implantation,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,postoperative pigment liberation after posterior chamber intraocular lens implantation,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_431,Siderosis,Entity,,"[2, 3, 5, 9]",Disease entity extracted from differential diagnosis lists,5,siderosis,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_432,Iris Chafe With Sulcus Iol,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,iris chafe with sulcus iol,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_433,Acute Depigmentation Of The Iris,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,acute depigmentation of the iris,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_434,Inflammatory Glaucoma,Entity,,[9],Disease entity extracted from differential diagnosis lists,3,inflammatory glaucoma,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_435,Capsular Delamination (True Exfoliation),Entity,,[9],Disease entity extracted from differential diagnosis lists,1,capsular delamination (true exfoliation),False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_436,Amyloidosis,Entity,,"[2, 4, 5, 7, 9, 12]",Disease entity extracted from differential diagnosis lists,7,amyloidosis,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_437,Uveitis/Glaucoma/Hyphema (Ugh) Syndrome,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,uveitis/glaucoma/hyphema (ugh) syndrome,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_438,Glaucomatocyclitic Crisis,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,glaucomatocyclitic crisis,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_439,Angle Closure Glaucoma,Entity,,"[9, 13]",Disease entity extracted from differential diagnosis lists,4,angle closure glaucoma,False,"[""Differential Diagnosis"", ""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_440,Lens Particle Glaucoma,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,lens particle glaucoma,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_441,Endophthalmitis,Entity,,"[1, 2, 3, 4, 7, 8, 9, 11, 12, 13]",Disease entity extracted from differential diagnosis lists,42,endophthalmitis,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_442,Glaucoma Secondary To Intraocular Tumor,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,glaucoma secondary to intraocular tumor,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_443,Infectious Endophthalmitis,Entity,,"[9, 12]",Disease entity extracted from differential diagnosis lists,4,infectious endophthalmitis,False,"[""Differential Diagnosis"", ""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_444,Phacoantigenic (Formerly Phacoanaphylaxis),Entity,,[9],Disease entity extracted from differential diagnosis lists,1,phacoantigenic (formerly phacoanaphylaxis),False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_445,Angle Closure Glaucoma Associated With Pupillary Block,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,angle closure glaucoma associated with pupillary block,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_446,Acute Angle Closure Glaucoma,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,acute angle closure glaucoma,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_447,Diabetic Retinopathy With Retinal Ischemia,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,diabetic retinopathy with retinal ischemia,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_448,"Central Retinal Vein Occlusion, Particularly The Ischemic Type",Entity,,[9],Disease entity extracted from differential diagnosis lists,1,"central retinal vein occlusion, particularly the ischemic type",False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_449,Ocular Ischemic Syndrome (Carotid Occlusive Disease),Entity,,[9],Disease entity extracted from differential diagnosis lists,1,ocular ischemic syndrome (carotid occlusive disease),False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_450,Axenfeld–Rieger Spectrum,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,axenfeld–rieger spectrum,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_451,Ppcd,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,ppcd,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_452,Fuchs Endothelial Dystrophy,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,fuchs endothelial dystrophy,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_453,Prior Uveitis With Pigmented Kp And Posterior Synechiae,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,prior uveitis with pigmented kp and posterior synechiae,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_454,Iridoschisis,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,iridoschisis,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_455,Pupillary Block Glaucoma,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,pupillary block glaucoma,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_456,Overfiltration After Surgery,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,overfiltration after surgery,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_457,Choroidal Detachment,Entity,,"[9, 11]",Disease entity extracted from differential diagnosis lists,2,choroidal detachment,True,"[""Differential Diagnosis"", ""Differential Diagnosis for All Three Types of Retinal Detachment""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_458,Postoperative Wound Leak,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,postoperative wound leak,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_459,Suprachoroidal Hemorrhage,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,suprachoroidal hemorrhage,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_460,Large Bleb With A Deep Chamber (Overfiltration),Entity,,[9],Disease entity extracted from differential diagnosis lists,1,large bleb with a deep chamber (overfiltration),False,"[""Differential Diagnosis and Treatment""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_461,Large Bleb With A Flat Chamber (Grade I Or Ii),Entity,,[9],Disease entity extracted from differential diagnosis lists,1,large bleb with a flat chamber (grade i or ii),False,"[""Differential Diagnosis and Treatment""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_462,No Bleb With Flat Chamber,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,no bleb with flat chamber,False,"[""Differential Diagnosis and Treatment""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_463,Grade Iii Flat Chamber,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,grade iii flat chamber,False,"[""Differential Diagnosis and Treatment""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_464,Anterior Uveitis,Entity,,"[1, 2, 3, 4, 5, 9, 10, 12, 13]",Disease entity extracted from differential diagnosis lists,40,anterior uveitis,False,"[""Differential Diagnosis"", ""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_465,Ischemic Bleb,Entity,,[9],Disease entity extracted from differential diagnosis lists,1,ischemic bleb,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_466,First-Order Neuron Disorder,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,first-order neuron disorder,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_467,Second-Order Neuron Disorder,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,second-order neuron disorder,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_468,Third-Order Neuron Disorder,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,third-order neuron disorder,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_469,Congenital Horner Syndrome,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,congenital horner syndrome,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_470,Optic Neuropathy Or Severe Retinopathy,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,optic neuropathy or severe retinopathy,False,"[""Differential Diagnosis of \u201cLight-Near\u201d Dissociation""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_471,Adie (Tonic) Pupil,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,adie (tonic) pupil,False,"[""Differential Diagnosis of \u201cLight-Near\u201d Dissociation""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
